ID,POS,NAME,DESCRIPTION,RELEASEDATE,DISCOUNTDATE,PRICE,SalesOrder_ID
9a93d73c-ebdc-4f8a-a046-f5f85efbf9f3,10,Few,Catch our,2023-03-10,2025-08-26,1200.0,67c5b363-d4da-45f2-bfae-d6be9cc6b365
982e06e2-4970-499d-980c-46c75465566f,20,Wonder,Second option second including,2023-03-15,2025-08-21,300.0,67c5b363-d4da-45f2-bfae-d6be9cc6b365
567562e0-6b75-4164-b73d-024fe01878d9,10,Walk,Pattern image upon offer finish,2023-10-12,2025-09-04,220.0,ee7112a9-f820-410d-b53b-7d4fda0a76a4
1683b94e-e1bb-47e8-ad27-3e63afdfa0da,20,Thousand,Can smile laugh station mean,2023-10-14,2025-08-27,90.0,ee7112a9-f820-410d-b53b-7d4fda0a76a4
89994874-1bdd-4a13-9eaa-7f878a0a9dbb,10,Far,Reality cultural week of,2024-04-10,2025-09-01,45.0,65858796-467e-46da-9da6-1f14ad010074
823d318f-d3a5-45ce-8a28-fa1f9cc10164,20,Rate,Buy dinner,2024-04-12,2025-08-29,10.0,65858796-467e-46da-9da6-1f14ad010074
a2e5deea-119a-40f7-857a-312dcf00d65e,10,Decide,Very draw,2023-12-01,2025-09-12,300.0,abf4920a-2f6a-46ab-8d9f-0d0ddec3bb81
96072d6e-b00d-4e8e-b2dc-0049ca6a3320,20,Miss,Four chair carry sport yard,2023-12-03,2025-08-24,300.0,abf4920a-2f6a-46ab-8d9f-0d0ddec3bb81
1290e715-4cd8-419d-bb1a-1cd01cfd6c17,10,Environment,Others nice material project,2023-07-01,2025-08-29,90.0,f08918e8-a223-4b2c-aaf4-d015be062257
c9bba36d-9b84-4d75-98c0-11dc0ee9335e,20,Thing,School class how,2023-07-03,2025-09-01,85.0,f08918e8-a223-4b2c-aaf4-d015be062257
49a1d12e-37f8-470c-b047-e56820e46326,10,Nice,Teach risk everything religious,2023-02-10,2025-08-26,150.0,293592c6-d42c-45d2-baa1-02dce4fd3ce1
2bef0c2f-18b3-4352-9868-53a809e4d9ff,20,Close,From term Mr role,2023-02-13,2025-08-30,90.0,293592c6-d42c-45d2-baa1-02dce4fd3ce1
64a043e8-c256-4a9c-8554-c5f6b29c3b5b,10,Member,Energy hope better force,2024-05-01,2025-08-31,300.0,21baead7-2a60-457a-b280-b7cba51cbb3e
f7bd0f9c-b3f6-4fc5-a88d-8ac05ed09564,20,Sort,Join style soldier upon,2024-05-03,2025-09-12,45.0,21baead7-2a60-457a-b280-b7cba51cbb3e
eba23476-2d64-41c5-addd-c9accb9707a4,10,Name,Point get guess,2023-05-01,2025-08-19,90.0,231b2e6a-e21d-4f9b-b55f-3275ad3f72f7
359896cd-e89b-4c79-a20e-6effe21559b3,20,Drug,Plant explain activity letter,2023-05-02,2025-08-24,45.0,231b2e6a-e21d-4f9b-b55f-3275ad3f72f7
059a78e3-373d-4fdc-aaef-dbe8cb19ac89,10,Project,Indeed hair understand food describe,2023-08-15,2025-09-10,10.0,fcac6a81-e607-4091-a2fc-615c1ebdf026
3bbfd71a-d6c4-42fc-bc3c-3925647f6a5f,20,Tax,Purpose along reality,2023-08-17,2025-09-11,45.0,fcac6a81-e607-4091-a2fc-615c1ebdf026
475c62c8-da15-4a01-84e2-98e47f6aeb05,10,On,Long lawyer determine,2024-01-10,2025-08-23,10.0,96aebd25-3285-4a86-a58c-83c59490e6f4
ee07653c-76a0-46cd-aeab-51391025c409,20,Look,Man daughter stock our,2024-01-11,2025-09-01,45.0,96aebd25-3285-4a86-a58c-83c59490e6f4
